Item,Content,Options,Keying
fext9,Is full of energy,"1-5; SD, D, NAD, A, SA",1
fext10,Shows a lot of enthusiasm,"1-5; SD, D, NAD, A, SA",1
fext11,Rarely feels excited or eager,"1-5; SD, D, NAD, A, SA",-1
fext12,Is less active than other people,"1-5; SD, D, NAD, A, SA",-1
fext13,rate your own level of extraversion (trait),"1-5; SD, D, NAD, A, SA",1
fneg1,"Is relaxed, handles stress well","1-5; SD, D, NAD, A, SA",-1
fneg2,Worries a lot,"1-5; SD, D, NAD, A, SA",1
fneg3,Rarely feels anxious or afraid,"1-5; SD, D, NAD, A, SA",-1
fneg4,Can be tense,"1-5; SD, D, NAD, A, SA",1
fneg5,Often feels sad,"1-5; SD, D, NAD, A, SA",1
fneg6,"Tends to feel depressed, blue","1-5; SD, D, NAD, A, SA",1
fneg7,"Feels secure, comfortable with self","1-5; SD, D, NAD, A, SA",-1
fneg8,Stays optimistic after experiencing a setback,"1-5; SD, D, NAD, A, SA",-1
fneg9,"Is emotionally stable, not easily upset","1-5; SD, D, NAD, A, SA",-1
fneg10,"Is temperamental, gets emotional easily","1-5; SD, D, NAD, A, SA",1
fneg11,Keeps emotions under control,"1-5; SD, D, NAD, A, SA",-1
fneg12,"Is moody, has up and down mood swings","1-5; SD, D, NAD, A, SA",1
fneg13,rate your own level of negative emotionality (trait),"1-5; SD, D, NAD, A, SA",1
CONDITION,,,
condition,assigned condition,"1-3; control, self-rated, fixed",
